# generated from Phonopy-lammps interface by Xiaofeng Qian at TAMU (2018)
6400 atoms
2 atom types

0.00000000     160.05360000 xlo xhi
0.00000000     170.17680000 ylo yhi
0.00000000      12.78533000 zlo zhi

      0.00000000       0.00000000       0.00000000 xy xz yz

Atoms

122 2        4.00134000      14.38308787       7.59244037
123 2        8.00268000      14.38308787       7.59244037
124 2       12.00402000      14.38308787       7.59244037
125 2       16.00536000      14.38308787       7.59244037
126 2       20.00670000      14.38308787       7.59244037
127 2       24.00804000      14.38308787       7.59244037
128 2       28.00938000      14.38308787       7.59244037
129 2       32.01072000      14.38308787       7.59244037
130 2       36.01206000      14.38308787       7.59244037
131 2       40.01340000      14.38308787       7.59244037
132 2       44.01474000      14.38308787       7.59244037
133 2       48.01608000      14.38308787       7.59244037
134 2       52.01742000      14.38308787       7.59244037
135 2       56.01876000      14.38308787       7.59244037
136 2       60.02010000      14.38308787       7.59244037
137 2       64.02144000      14.38308787       7.59244037
138 2       68.02278000      14.38308787       7.59244037
139 2       72.02412000      14.38308787       7.59244037
140 2       76.02546000      14.38308787       7.59244037
141 2       80.02680000      14.38308787       7.59244037
142 2       84.02814000      14.38308787       7.59244037
143 2       88.02948000      14.38308787       7.59244037
144 2       92.03082000      14.38308787       7.59244037
145 2       96.03216000      14.38308787       7.59244037
146 2      100.03350000      14.38308787       7.59244037
147 2      104.03484000      14.38308787       7.59244037
148 2      108.03618000      14.38308787       7.59244037
149 2      112.03752000      14.38308787       7.59244037
150 2      116.03886000      14.38308787       7.59244037
151 2      120.04020000      14.38308787       7.59244037
152 2      124.04154000      14.38308787       7.59244037
153 2      128.04288000      14.38308787       7.59244037
154 2      132.04422000      14.38308787       7.59244037
155 2      136.04556000      14.38308787       7.59244037
156 2      140.04690000      14.38308787       7.59244037
157 2      144.04824000      14.38308787       7.59244037
158 2      148.04958000      14.38308787       7.59244037
159 2      152.05092000      14.38308787       7.59244037
160 2      156.05226000      14.38308787       7.59244037
161 2        0.00000000      18.63750787       7.59244037
162 2        4.00134000      18.63750787       7.59244037
163 2        8.00268000      18.63750787       7.59244037
164 2       12.00402000      18.63750787       7.59244037
165 2       16.00536000      18.63750787       7.59244037
166 2       20.00670000      18.63750787       7.59244037
167 2       24.00804000      18.63750787       7.59244037
168 2       28.00938000      18.63750787       7.59244037
169 2       32.01072000      18.63750787       7.59244037
170 2       36.01206000      18.63750787       7.59244037
171 2       40.01340000      18.63750787       7.59244037
172 2       44.01474000      18.63750787       7.59244037
173 2       48.01608000      18.63750787       7.59244037
174 2       52.01742000      18.63750787       7.59244037
175 2       56.01876000      18.63750787       7.59244037
176 2       60.02010000      18.63750787       7.59244037
177 2       64.02144000      18.63750787       7.59244037
178 2       68.02278000      18.63750787       7.59244037
179 2       72.02412000      18.63750787       7.59244037
180 2       76.02546000      18.63750787       7.59244037
181 2       80.02680000      18.63750787       7.59244037
182 2       84.02814000      18.63750787       7.59244037
183 2       88.02948000      18.63750787       7.59244037
184 2       92.03082000      18.63750787       7.59244037
185 2       96.03216000      18.63750787       7.59244037
186 2      100.03350000      18.63750787       7.59244037
187 2      104.03484000      18.63750787       7.59244037
188 2      108.03618000      18.63750787       7.59244037
189 2      112.03752000      18.63750787       7.59244037
190 2      116.03886000      18.63750787       7.59244037
191 2      120.04020000      18.63750787       7.59244037
192 2      124.04154000      18.63750787       7.59244037
193 2      128.04288000      18.63750787       7.59244037
194 2      132.04422000      18.63750787       7.59244037
195 2      136.04556000      18.63750787       7.59244037
196 2      140.04690000      18.63750787       7.59244037
197 2      144.04824000      18.63750787       7.59244037
198 2      148.04958000      18.63750787       7.59244037
199 2      152.05092000      18.63750787       7.59244037
200 2      156.05226000      18.63750787       7.59244037
201 2        0.00000000      22.89192787       7.59244037
202 2        4.00134000      22.89192787       7.59244037
203 2        8.00268000      22.89192787       7.59244037
204 2       12.00402000      22.89192787       7.59244037
205 2       16.00536000      22.89192787       7.59244037
206 2       20.00670000      22.89192787       7.59244037
207 2       24.00804000      22.89192787       7.59244037
208 2       28.00938000      22.89192787       7.59244037
209 2       32.01072000      22.89192787       7.59244037
210 2       36.01206000      22.89192787       7.59244037
211 2       40.01340000      22.89192787       7.59244037
212 2       44.01474000      22.89192787       7.59244037
213 2       48.01608000      22.89192787       7.59244037
214 2       52.01742000      22.89192787       7.59244037
215 2       56.01876000      22.89192787       7.59244037
216 2       60.02010000      22.89192787       7.59244037
217 2       64.02144000      22.89192787       7.59244037
218 2       68.02278000      22.89192787       7.59244037
219 2       72.02412000      22.89192787       7.59244037
220 2       76.02546000      22.89192787       7.59244037
221 2       80.02680000      22.89192787       7.59244037
222 2       84.02814000      22.89192787       7.59244037
223 2       88.02948000      22.89192787       7.59244037
224 2       92.03082000      22.89192787       7.59244037
225 2       96.03216000      22.89192787       7.59244037
226 2      100.03350000      22.89192787       7.59244037
227 2      104.03484000      22.89192787       7.59244037
228 2      108.03618000      22.89192787       7.59244037
229 2      112.03752000      22.89192787       7.59244037
230 2      116.03886000      22.89192787       7.59244037
231 2      120.04020000      22.89192787       7.59244037
232 2      124.04154000      22.89192787       7.59244037
233 2      128.04288000      22.89192787       7.59244037
234 2      132.04422000      22.89192787       7.59244037
235 2      136.04556000      22.89192787       7.59244037
236 2      140.04690000      22.89192787       7.59244037
237 2      144.04824000      22.89192787       7.59244037
238 2      148.04958000      22.89192787       7.59244037
239 2      152.05092000      22.89192787       7.59244037
240 2      156.05226000      22.89192787       7.59244037
241 2        0.00000000      27.14634787       7.59244037
242 2        4.00134000      27.14634787       7.59244037
243 2        8.00268000      27.14634787       7.59244037
244 2       12.00402000      27.14634787       7.59244037
245 2       16.00536000      27.14634787       7.59244037
246 2       20.00670000      27.14634787       7.59244037
247 2       24.00804000      27.14634787       7.59244037
248 2       28.00938000      27.14634787       7.59244037
